date,equity
2019-10-17,94370127.01222578
2019-10-18,94417272.01222578
2019-10-21,96979512.58683306
2019-10-22,98077528.58683306
2019-10-23,98576723.37605307
2019-10-24,98337571.37605307
2019-10-25,97489999.37605307
2019-10-28,96528033.37605307
2019-10-29,97391627.37605307
2019-10-30,97277948.48144346
2019-10-31,97533777.86196846
2019-11-01,98653755.86196846
2019-11-04,99316287.86196846
2019-11-05,98941773.86196846
2019-11-06,98871369.86196846
2019-11-07,98941254.14741087
2019-11-08,98702148.14741087
2019-11-11,99484261.05866086
2019-11-12,99430539.92901087
2019-11-13,97653775.92901087
2019-11-14,98436360.00301085
2019-11-15,98797752.00301085
2019-11-18,96826596.00301085
2019-11-19,96558104.88814716
2019-11-20,96163804.88814716
2019-11-21,95290320.88814716
2019-11-22,94376002.95386717
2019-11-25,94386402.71191716
2019-11-26,94254402.71191716
2019-11-27,93501429.14143716
2019-11-28,93763333.88188715
2019-11-29,93952541.88188715
2019-12-02,93620033.88188715
2019-12-03,93567733.88188715
2019-12-04,93346041.88188715
2019-12-05,92916373.88188715
2019-12-06,93073037.88196355
2019-12-09,92616637.88196355
2019-12-10,92652102.90199354
2019-12-11,92652102.90199354
2019-12-12,92638820.27970354
2019-12-13,92717065.90192805
2019-12-16,92238735.90192805
2019-12-17,93200006.86337805
2019-12-18,94319709.96171305
2019-12-19,94132949.96171305
2019-12-20,94140079.96171305
2019-12-23,94245030.64239115
2019-12-24,93803991.64239115
2019-12-26,93396101.64239115
2019-12-27,93550369.23814115
2019-12-30,93216894.96933115
2020-01-02,92079949.96933115
2020-01-03,92242393.40121266
2020-01-06,92283319.40121266
2020-01-07,93071125.82867396
2020-01-08,93010101.82867396
2020-01-09,94896198.82867396
2020-01-10,95599955.82867396
2020-01-13,96165882.82867396
2020-01-14,95945291.19932465
2020-01-15,95622994.19932465
2020-01-16,97586401.19932465
2020-01-17,97998660.19932465
2020-01-20,98043524.19932465
2020-01-21,97485048.19932465
2020-01-22,99690946.19932465
2020-01-23,99496646.19932465
2020-01-28,97880474.19932465
2020-01-29,97817440.64332965
2020-01-30,97142295.64332965
2020-01-31,95634337.49446496
2020-02-03,94998559.64000095
2020-02-04,96709294.64000095
